Modelo,Marca,Título,Precio Lista,Precio Especial,Su Precio,Existencias,Código Fiscal,Peso Kg,Descripción,Imagen Principal,Tipo de Cambio,Menu Nvl 1,Menu Nvl 2,Menu Nvl 3,Link SYSCOM,Link Privado,ID Menu Nvl 1,ID Menu Nvl 2,ID Menu Nvl 3,ID Producto,Modelo Limpio,Es Kit,Stock Kits Origen Multiples Sucursales
05-10-69-54,,,205.00,205.00,125.95,0,32101617,0.08,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'>Producto: TARJETA MADRE P/FASTRAXIII</li><li style='margin-bottom: 5px;'>Marca: </li><li style='margin-bottom: 5px;'>Modelo: 05106954</li></ul></div></div><div style='display: flex; flex-wrap: wrap; gap: 20px; margin-bottom: 30px;'><div style='flex: 1 1 250px; border: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.4); border-radius: 8px; overflow: hidden; display: flex; flex-direction: column;'><div style='padding: 15px; border-bottom: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.2); font-weight: bold; font-size: 18px; color: inherit;'>Especificaciones</div><div style='padding: 15px; color: inherit;'><ul style='padding-left: 20px; margin: 0; font-size: 14px; list-style-type: disc;'><li style='margin-bottom: 5px;'><strong>Socket:</strong> No especificado</li><li style='margin-bottom: 5px;'><strong>Chipset:</strong> No especificado</li><li style='margin-bottom: 5px;'><strong>Memoria RAM:</strong> No especificado</li><li style='margin-bottom: 5px;'><strong>Almacenamiento:</strong> No especificado</li><li style='margin-bottom: 5px;'><strong>Conectividad:</strong> No especificado</li></ul></div></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-69-54--38949.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-69-54--38949.html,---,---,---,38949,05106954,no,0
05-10-70-72,,"TARJETA PRINCIPAL P/HF3S26BN, HF3S26CN",0.01,0.01,0,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características técnicas</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> TARJETA PRINCIPAL P/HF3S26BN&comma; HF3S26CN</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 05107072</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-70-72--65694.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-70-72--65694.html,---,---,---,65694,05107072,no,0
05-10-73-36,,,95.00,95.00,58.36,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características técnicas</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> TARJETA PRINCIPAL P/HCUIE1NNW5</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 05107336</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-73-36--38953.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-73-36--38953.html,---,---,---,38953,05107336,no,0
05-10-73-62,,"TARJETA SMPS P/HF3S26BN, HF3S26CN",0.01,0.01,0,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-73-62--65695.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-73-62--65695.html,---,---,---,65695,05107362,no,0
05-10-74-38,,TARJETA PRINCIPAL WDR D/N P/HCBG1FDZ1,0.01,0.01,0,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características Generales</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'>Producto: TARJETA PRINCIPAL WDR D/N P/HCBG1FDZ1</li><li style='margin-bottom: 5px;'>Marca: </li><li style='margin-bottom: 5px;'>Modelo: 05107438</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-74-38--65665.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-74-38--65665.html,---,---,---,65665,05107438,no,0
05-10-74-40,,FUENTE PODER P/HCBG1FDZ1,0.01,0.01,0,0,39121004,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><h2 style='font-size: 24px; margin-top: 0; color: inherit;'>FUENTE PODER P/HCBG1FDZ1</h2><p style='color: inherit;'><strong>Modelo:</strong> 05107440</p><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Información del producto</h3><p style='color: inherit;'>No hay información adicional disponible para este producto.</p></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-74-40--65674.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-74-40--65674.html,---,---,---,65674,05107440,no,0
05-10-75-64,,TARJETA SMPS PTZ3 P/MINITRAXIII,15.00,15.00,9.21,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Información del Producto</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> TARJETA SMPS PTZ3 P/MINITRAXIII</li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 05107564</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-75-64--65692.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-75-64--65692.html,---,---,---,65692,05107564,no,0
05-10-78-90,,"TARJETA DE LEDS IR P/HCGN240S5, HCGN240A5",0.01,0.01,0,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-78-90--65680.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-78-90--65680.html,---,---,---,65680,05107890,no,0
05-10-78-92,,"TARJETA PRINCIPAL P/HCGN240S5, HCGN240A5",0.01,0.01,0,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Información del Producto</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> TARJETA PRINCIPAL P/HCGN240S5&comma; HCGN240A5</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 05107892</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-78-92--65681.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-78-92--65681.html,---,---,---,65681,05107892,no,0
05-10-79-55,,TARJETA DSP P/MINITRAXIII,0.01,0.01,0,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-79-55--65693.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-79-55--65693.html,---,---,---,65693,05107955,no,0
05-50-40-18,,TARJETA P/CMRA. HCBE50N,49.00,49.00,30.1,0,32101617,0.03,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-50-40-18--38960.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-50-40-18--38960.html,---,---,---,38960,05504018,no,0
05-50-41-50,,,120.00,120.00,73.72,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-50-41-50--38961.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-50-41-50--38961.html,---,---,---,38961,05504150,no,0
0500O0.25W,,,0.18,0.18,0.11,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> RESIST. 500 OHMS A .25 DE WATT</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 0500O0.25W</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/0500O0.25W--967.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/0500O0.25W--967.html,---,---,---,967,0500O0.25W,no,0
